Country Name	Country Code	Series Name	Series Code	2011
Equatorial Guinea	GNQ	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Eritrea	ERI	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Eritrea	ERI	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Eritrea	ERI	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Eritrea	ERI	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Estonia	EST	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	95.18627
Estonia	EST	Account used to receive government payments (% age 15+)	GFDD.AI.09	60.81514
Estonia	EST	Account used to receive remittances (% age 15+)	GFDD.AI.10	20.89865
Estonia	EST	Account used to receive wages (% age 15+)	GFDD.AI.11	57.98092
Ethiopia	ETH	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Ethiopia	ETH	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Ethiopia	ETH	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Ethiopia	ETH	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Faeroe Islands	FRO	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Faeroe Islands	FRO	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Faeroe Islands	FRO	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Faeroe Islands	FRO	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Fiji	FJI	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
Fiji	FJI	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
Fiji	FJI	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
Fiji	FJI	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Finland	FIN	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	99.59035
Finland	FIN	Account used to receive government payments (% age 15+)	GFDD.AI.09	65.82194
Finland	FIN	Account used to receive remittances (% age 15+)	GFDD.AI.10	31.63577
Finland	FIN	Account used to receive wages (% age 15+)	GFDD.AI.11	66.09652
France	FRA	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	94.94501
France	FRA	Account used to receive government payments (% age 15+)	GFDD.AI.09	37.16621
France	FRA	Account used to receive remittances (% age 15+)	GFDD.AI.10	18.09916
France	FRA	Account used to receive wages (% age 15+)	GFDD.AI.11	59.87457
French Polynesia	PYF	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
French Polynesia	PYF	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
French Polynesia	PYF	Account used to receive remittances (% age 15+)	GFDD.AI.10	..
French Polynesia	PYF	Account used to receive wages (% age 15+)	GFDD.AI.11	..
Gabon	GAB	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	18.70922
Gabon	GAB	Account used to receive government payments (% age 15+)	GFDD.AI.09	2.678324
Gabon	GAB	Account used to receive remittances (% age 15+)	GFDD.AI.10	2.742221
Gabon	GAB	Account used to receive wages (% age 15+)	GFDD.AI.11	4.920104
"Gambia, The"	GMB	Depositing/withdrawing at least once in a typical month (% age 15+)	GFDD.AI.26	..
"Gambia, The"	GMB	Account used to receive government payments (% age 15+)	GFDD.AI.09	..
