Country,Time,Unit,Data Source,Status,Scale,"Interest Rates, Government Securities, Government Bonds","Interest Rates, Government Securities, Government Bonds, Short-term","Interest Rates, Government Securities, Government Bonds, Medium- and Long-term"
Luxembourg,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,1.85166666666667,,
Malaysia,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.08766666666667,,
Malaysia,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.56816666666667,,
Malaysia,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.0065,,
Malaysia,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.57191666666667,,
Malaysia,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.72916666666667,,
Malaysia,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.58941666666667,,
Malaysia,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.51891666666667,,
Malaysia,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.44808333333333,,
Malaysia,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.25216666666666,,
Malaysia,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.4245,,
Maldives,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,8,,
Maldives,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,8,,
Maldives,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,8,,
Maldives,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,8,,
Maldives,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,8,,
Malta,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.685,,
Malta,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.555,,
Malta,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.31833333333333,,
Malta,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.72416666666667,,
Malta,2008,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.80833333333333,,
Malta,2009,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.54166666666667,,
Malta,2010,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.1875,,
Malta,2011,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.48916666666667,,
Malta,2012,Percent per Annum,International Financial Statistics (IFS),Published,Units,4.12583333333333,,
Malta,2013,Percent per Annum,International Financial Statistics (IFS),Published,Units,3.3625,,
Mauritius,2004,Percent per Annum,International Financial Statistics (IFS),Published,Units,7.6075,,
Mauritius,2005,Percent per Annum,International Financial Statistics (IFS),Published,Units,8.38625,,
Mauritius,2006,Percent per Annum,International Financial Statistics (IFS),Published,Units,9.86,,
Mauritius,2007,Percent per Annum,International Financial Statistics (IFS),Published,Units,10.1525,,
